	SC182	GRO-09_nasal_brush	D353_Brus_Nas1	SC173	D363_Brus_Nas1	SC184	SC174_SC173	SC174_SC172	GRO-04_nasal_brush	SC183	SC181	SC185
FAM71C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRKRA	1302.0	1809.0	1419.0	743.0	1273.0	794.0	373.0	388.0	1750.0	619.0	374.0	196.0
ZNRF2	815.0	253.0	667.0	149.0	347.0	438.0	65.0	53.0	239.0	483.0	388.0	136.0
RRH	5.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0	1.0	0.0	0.0	0.0
SLC9A4	133.0	25.0	34.0	124.0	13.0	78.0	63.0	83.0	26.0	114.0	79.0	25.0
ZNF816	272.0	163.0	171.0	80.0	86.0	110.0	35.0	32.0	96.0	101.0	30.0	16.0
FGD6	436.0	497.0	453.0	212.0	224.0	294.0	105.0	119.0	124.0	323.0	163.0	122.0
ADGRD2	0.0	3.0	63.0	1.0	45.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
MGC45922	2.0	9.0	6.0	1.0	8.0	4.0	1.0	6.0	1.0	1.0	1.0	1.0
PLD5	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
OAZ2	1291.0	2901.0	2892.0	601.0	1784.0	904.0	274.0	249.0	2722.0	539.0	355.0	171.0
WFDC10A	0.0	0.0	1.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0
PNPLA1	1.0	4.0	22.0	0.0	15.0	5.0	2.0	2.0	1.0	7.0	2.0	0.0
ALX1	0.0	0.0	2.0	0.0	0.0	3.0	0.0	1.0	1.0	0.0	1.0	1.0
CCDC43	810.0	1577.0	745.0	505.0	598.0	562.0	250.0	264.0	820.0	555.0	259.0	146.0
KCTD4	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0
MEIOC	59.0	17.0	45.0	10.0	9.0	19.0	5.0	8.0	19.0	34.0	11.0	6.0
FZD2	3.0	3.0	0.0	4.0	0.0	2.0	0.0	0.0	0.0	0.0	8.0	2.0
TIGD2	337.0	165.0	189.0	166.0	130.0	108.0	73.0	91.0	92.0	163.0	57.0	30.0
CCDC129	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HCLS1	4123.0	2377.0	1045.0	978.0	766.0	1497.0	480.0	777.0	1728.0	1725.0	1709.0	216.0
MTURN	1771.0	2108.0	1769.0	438.0	884.0	1493.0	192.0	274.0	1391.0	624.0	323.0	340.0
ZNF609	1202.0	2149.0	1193.0	496.0	673.0	831.0	202.0	265.0	861.0	539.0	347.0	188.0
PAK2	3146.0	5287.0	1806.0	1931.0	1068.0	2026.0	986.0	1215.0	2167.0	1865.0	1640.0	376.0
CCDC66	576.0	1685.0	967.0	190.0	670.0	491.0	72.0	77.0	1028.0	169.0	105.0	51.0
DEFB124	28.0	106.0	70.0	2.0	19.0	59.0	2.0	3.0	137.0	2.0	5.0	9.0
ATP5EP2	14.0	55.0	746.0	30.0	293.0	19.0	20.0	16.0	37.0	28.0	12.0	4.0
MCFD2	1857.0	3681.0	2643.0	1334.0	1401.0	1803.0	615.0	688.0	2453.0	1122.0	565.0	609.0
LINC00304	0.0	1.0	1.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0
HARBI1	145.0	197.0	247.0	85.0	114.0	84.0	53.0	51.0	158.0	65.0	26.0	19.0
C11orf71	444.0	545.0	1105.0	260.0	503.0	304.0	135.0	116.0	655.0	209.0	105.0	46.0
CYP8B1	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0
TPRXL	1103.0	527.0	317.0	284.0	227.0	421.0	122.0	91.0	1371.0	348.0	154.0	82.0
SERTM1	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GAS1	122.0	45.0	223.0	84.0	208.0	40.0	31.0	43.0	22.0	80.0	7.0	10.0
HMHA1	62.0	69.0	77.0	34.0	32.0	35.0	9.0	19.0	69.0	51.0	193.0	8.0
CTD-3064H18.4	10.0	7.0	11.0	1.0	4.0	3.0	1.0	1.0	5.0	0.0	0.0	2.0
ZNF571	201.0	121.0	168.0	50.0	64.0	68.0	28.0	29.0	58.0	86.0	30.0	20.0
GLIPR1L2	58.0	88.0	56.0	10.0	9.0	58.0	8.0	4.0	80.0	17.0	15.0	8.0
DEFB119	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
FAM73A	814.0	1445.0	1143.0	457.0	753.0	564.0	192.0	228.0	597.0	396.0	193.0	102.0
KCNE1	499.0	923.0	200.0	93.0	95.0	242.0	33.0	40.0	605.0	55.0	40.0	28.0
PRR26	24.0	17.0	14.0	0.0	3.0	21.0	0.0	0.0	9.0	8.0	2.0	6.0
NRIP1	1003.0	1267.0	349.0	664.0	314.0	589.0	327.0	411.0	372.0	606.0	597.0	237.0
ZSCAN4	31.0	11.0	4.0	11.0	12.0	27.0	2.0	6.0	7.0	12.0	1.0	4.0
BHLHA15	7.0	3.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	4.0	0.0
RNF182	0.0	5.0	15.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0
C9orf139	0.0	2.0	8.0	4.0	4.0	0.0	0.0	0.0	1.0	1.0	10.0	0.0
TSPYL5	438.0	438.0	390.0	158.0	252.0	280.0	71.0	82.0	308.0	176.0	102.0	32.0
FUT7	0.0	4.0	4.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	8.0	0.0
HIST1H2AC	592.0	2253.0	781.0	406.0	211.0	409.0	193.0	217.0	751.0	775.0	224.0	288.0
EIF2S3L	3.0	3.0	6.0	2.0	3.0	0.0	2.0	3.0	2.0	2.0	1.0	0.0
SKIDA1	20.0	96.0	70.0	9.0	17.0	15.0	5.0	1.0	67.0	16.0	6.0	2.0
HIST1H2BC	512.0	361.0	218.0	328.0	54.0	485.0	181.0	182.0	252.0	695.0	222.0	472.0
MB21D2	3.0	32.0	21.0	11.0	10.0	7.0	5.0	14.0	9.0	18.0	50.0	3.0
SSTR2	7.0	43.0	289.0	1.0	189.0	20.0	1.0	0.0	20.0	5.0	3.0	3.0
ZNF594	280.0	164.0	239.0	43.0	125.0	68.0	23.0	33.0	80.0	101.0	18.0	15.0
PCGF5	1902.0	1714.0	2949.0	1207.0	1917.0	839.0	574.0	619.0	1140.0	1165.0	619.0	232.0
SLC47A2	58.0	25.0	69.0	16.0	28.0	49.0	6.0	6.0	78.0	8.0	4.0	10.0
PRF1	26.0	12.0	15.0	32.0	12.0	6.0	17.0	17.0	152.0	45.0	65.0	0.0
MAB21L1	4.0	2.0	2.0	1.0	5.0	0.0	0.0	1.0	0.0	5.0	2.0	0.0
YOD1	317.0	334.0	411.0	191.0	233.0	177.0	83.0	68.0	291.0	233.0	178.0	129.0
TMEM64	428.0	180.0	717.0	169.0	439.0	198.0	77.0	63.0	235.0	156.0	98.0	39.0
C3orf22	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
RP11-290F5.2	191.0	650.0	450.0	101.0	308.0	163.0	61.0	63.0	619.0	48.0	15.0	30.0
CHRM4	1.0	0.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0	2.0	0.0	1.0
SHISA2	98.0	278.0	701.0	107.0	643.0	171.0	34.0	71.0	300.0	47.0	26.0	20.0
S1PR5	85.0	53.0	77.0	44.0	37.0	60.0	12.0	21.0	38.0	171.0	15.0	9.0
CLRN3	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GPR157	657.0	1045.0	1803.0	846.0	1044.0	416.0	362.0	463.0	357.0	329.0	281.0	149.0
CHST13	1.0	6.0	4.0	0.0	0.0	6.0	0.0	2.0	20.0	0.0	7.0	0.0
AGTR2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SLC36A4	464.0	636.0	638.0	316.0	442.0	416.0	130.0	163.0	629.0	301.0	190.0	185.0
ZDHHC20	1104.0	1182.0	2095.0	640.0	1122.0	832.0	257.0	338.0	740.0	807.0	451.0	206.0
ANKRD30B	0.0	1.0	11.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR51E1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZFP3	426.0	204.0	190.0	62.0	89.0	145.0	32.0	32.0	154.0	111.0	42.0	23.0
ARSJ	190.0	282.0	197.0	97.0	160.0	122.0	47.0	41.0	118.0	154.0	55.0	17.0
HOXC9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
MAP3K15	3.0	1.0	5.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	4.0	1.0
PPA1	3930.0	13757.0	5302.0	4094.0	3841.0	3077.0	2373.0	2140.0	5313.0	4594.0	2941.0	462.0
HOXC10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PSMG4	1754.0	2558.0	2531.0	1498.0	1701.0	1222.0	735.0	593.0	1847.0	579.0	495.0	236.0
BHLHE22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
MAP6D1	19.0	44.0	40.0	8.0	36.0	32.0	5.0	7.0	14.0	12.0	6.0	4.0
CSNK1G2-AS1	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
ZNF443	92.0	63.0	121.0	24.0	73.0	62.0	10.0	11.0	41.0	62.0	10.0	16.0
LINC01559	246.0	957.0	692.0	428.0	532.0	38.0	211.0	295.0	49.0	389.0	361.0	112.0
CXCR2	31.0	36.0	79.0	11.0	19.0	24.0	1.0	5.0	30.0	27.0	26.0	1.0
GREM2	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
SSR4	14248.0	16608.0	9016.0	6464.0	5911.0	7444.0	3565.0	5585.0	13213.0	6357.0	4165.0	1167.0
CAPS2	463.0	807.0	429.0	176.0	145.0	433.0	94.0	55.0	739.0	105.0	52.0	71.0
ZNF792	66.0	35.0	51.0	22.0	35.0	28.0	9.0	15.0	17.0	20.0	12.0	8.0
CUEDC1	1235.0	1317.0	807.0	754.0	703.0	795.0	278.0	306.0	1043.0	413.0	239.0	140.0
SCRIB	725.0	570.0	916.0	519.0	594.0	511.0	209.0	280.0	323.0	365.0	189.0	91.0
KCTD2	342.0	366.0	493.0	182.0	378.0	196.0	68.0	72.0	153.0	159.0	83.0	40.0
D2HGDH	473.0	1001.0	722.0	224.0	446.0	331.0	103.0	202.0	746.0	250.0	143.0	43.0
OXTR	106.0	755.0	155.0	50.0	28.0	418.0	17.0	30.0	67.0	5.0	76.0	19.0
CMTR2	802.0	1193.0	1477.0	361.0	844.0	358.0	134.0	201.0	711.0	516.0	192.0	76.0
FAM83H	1132.0	1010.0	2065.0	730.0	1501.0	763.0	306.0	350.0	652.0	889.0	378.0	141.0
GPR62	4.0	3.0	5.0	0.0	6.0	5.0	1.0	2.0	5.0	0.0	0.0	0.0
ZNF572	82.0	30.0	49.0	5.0	28.0	28.0	3.0	2.0	19.0	18.0	3.0	3.0
ST20	39.0	485.0	405.0	27.0	314.0	55.0	19.0	11.0	251.0	27.0	22.0	9.0
PITPNB	1526.0	2555.0	1094.0	603.0	662.0	608.0	302.0	362.0	918.0	1087.0	506.0	199.0
TCEAL8	964.0	3549.0	2498.0	775.0	1369.0	947.0	422.0	437.0	2163.0	630.0	370.0	98.0
LRRC57	493.0	698.0	670.0	279.0	457.0	333.0	118.0	146.0	431.0	261.0	153.0	84.0
OR52N2	1.0	6.0	6.0	2.0	0.0	1.0	0.0	1.0	4.0	1.0	0.0	0.0
MRPL14	5896.0	10241.0	9252.0	4422.0	6079.0	3940.0	2309.0	2554.0	7798.0	3908.0	1889.0	784.0
GPR137C	15.0	17.0	28.0	9.0	17.0	13.0	1.0	7.0	5.0	16.0	3.0	4.0
C1orf105	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0
OR52N1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BBS12	299.0	235.0	149.0	72.0	75.0	128.0	33.0	47.0	262.0	75.0	28.0	28.0
ZFP82	43.0	105.0	134.0	14.0	48.0	38.0	4.0	7.0	37.0	20.0	9.0	6.0
OR52N5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C17orf47	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LSMEM1	21.0	35.0	19.0	7.0	25.0	14.0	4.0	3.0	55.0	10.0	6.0	6.0
NQO1	20428.0	17521.0	5009.0	5359.0	3342.0	11064.0	3225.0	3442.0	26042.0	6080.0	4097.0	1860.0
OR56B1	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AEN	145.0	177.0	204.0	132.0	100.0	68.0	40.0	47.0	114.0	83.0	56.0	5.0
FKRP	86.0	182.0	125.0	33.0	61.0	88.0	18.0	24.0	117.0	43.0	28.0	11.0
TRAPPC5	390.0	88.0	74.0	120.0	54.0	201.0	61.0	93.0	88.0	162.0	66.0	28.0
RPH3AL	163.0	171.0	82.0	86.0	73.0	67.0	40.0	75.0	104.0	40.0	33.0	8.0
SLC25A42	192.0	231.0	337.0	124.0	190.0	122.0	58.0	60.0	143.0	66.0	45.0	37.0
FCRL6	10.0	4.0	16.0	12.0	9.0	5.0	2.0	1.0	39.0	4.0	7.0	0.0
METTL23	822.0	1856.0	1824.0	605.0	998.0	319.0	279.0	309.0	1768.0	356.0	262.0	65.0
SLC26A11	261.0	366.0	350.0	165.0	238.0	174.0	91.0	98.0	301.0	115.0	66.0	28.0
HIGD1A	487.0	2945.0	3228.0	444.0	1796.0	612.0	151.0	183.0	2794.0	262.0	168.0	72.0
CHRM2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR52N4	4.0	0.0	3.0	0.0	3.0	2.0	1.0	1.0	1.0	0.0	0.0	1.0
MAPK15	1189.0	726.0	567.0	212.0	144.0	1036.0	72.0	47.0	1445.0	84.0	55.0	125.0
EHMT1	1683.0	2107.0	1185.0	872.0	659.0	980.0	437.0	534.0	836.0	1088.0	609.0	280.0
ADIPOQ	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
RP11-429J17.2	5.0	74.0	125.0	13.0	68.0	7.0	2.0	4.0	36.0	10.0	0.0	2.0
F2R	471.0	527.0	714.0	188.0	1008.0	635.0	86.0	129.0	836.0	301.0	156.0	89.0
RP4-539M6.14	293.0	1144.0	327.0	80.0	68.0	370.0	30.0	12.0	1319.0	18.0	32.0	37.0
ZNF707	180.0	110.0	135.0	72.0	144.0	75.0	46.0	57.0	64.0	71.0	33.0	26.0
MUC16	48042.0	9596.0	5346.0	4505.0	4328.0	17015.0	1888.0	4152.0	5587.0	13219.0	5461.0	4362.0
NPM1	10980.0	17304.0	11090.0	5311.0	5781.0	6392.0	2939.0	3111.0	10713.0	14449.0	6713.0	891.0
FER1L6-AS1	7.0	3.0	3.0	0.0	1.0	2.0	0.0	1.0	0.0	1.0	2.0	2.0
PJA1	876.0	480.0	490.0	308.0	334.0	383.0	161.0	170.0	255.0	568.0	297.0	108.0
DHTKD1	555.0	958.0	809.0	399.0	408.0	380.0	183.0	217.0	394.0	352.0	197.0	73.0
PENK	5.0	10.0	0.0	2.0	1.0	5.0	1.0	3.0	4.0	15.0	1.0	1.0
C4orf50	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HIST3H2A	445.0	1371.0	1243.0	493.0	453.0	338.0	220.0	176.0	1451.0	293.0	133.0	78.0
ZNF746	352.0	197.0	323.0	190.0	183.0	225.0	97.0	89.0	118.0	173.0	120.0	44.0
POLR2A	5022.0	2492.0	2431.0	2152.0	1366.0	1586.0	986.0	1052.0	2034.0	3649.0	1724.0	520.0
TMEM132C	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SLC25A41	15.0	24.0	10.0	17.0	25.0	1.0	6.0	1.0	10.0	0.0	0.0	2.0
TMEM136	189.0	321.0	285.0	68.0	119.0	103.0	27.0	40.0	237.0	41.0	26.0	11.0
FRAT2	972.0	1105.0	1144.0	727.0	747.0	506.0	377.0	488.0	287.0	738.0	399.0	161.0
TMEM102	391.0	258.0	178.0	224.0	131.0	243.0	120.0	147.0	186.0	317.0	143.0	44.0
TMEM132E	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZNF322	1491.0	1719.0	1051.0	575.0	510.0	549.0	278.0	350.0	805.0	672.0	250.0	124.0
NME9	513.0	352.0	99.0	86.0	33.0	479.0	33.0	24.0	597.0	69.0	44.0	87.0
SPEM1	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HEPHL1	4.0	1.0	4.0	2.0	2.0	1.0	0.0	3.0	1.0	5.0	3.0	4.0
LRRC75A	32.0	555.0	64.0	2.0	22.0	12.0	1.0	0.0	69.0	15.0	19.0	4.0
OFCC1	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
CCL13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	20.0	0.0
CFAP65	738.0	1144.0	375.0	111.0	125.0	749.0	40.0	66.0	1351.0	69.0	52.0	79.0
DDX60L	597.0	835.0	313.0	163.0	200.0	235.0	65.0	88.0	258.0	342.0	127.0	58.0
SYNE4	186.0	397.0	294.0	142.0	132.0	156.0	78.0	108.0	347.0	71.0	42.0	26.0
OGFOD3	1041.0	1103.0	1094.0	604.0	765.0	586.0	319.0	316.0	893.0	400.0	274.0	81.0
WASH1	373.0	773.0	977.0	212.0	561.0	368.0	80.0	152.0	700.0	202.0	85.0	100.0
AATK	5.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	3.0	0.0
DDN	3.0	0.0	7.0	0.0	5.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0
SAGE1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZNF467	333.0	330.0	356.0	237.0	333.0	323.0	112.0	132.0	165.0	160.0	110.0	45.0
SOX2	4000.0	9969.0	4416.0	2444.0	3172.0	2857.0	1053.0	1135.0	3108.0	2683.0	730.0	604.0
ZNF678	283.0	280.0	185.0	90.0	118.0	110.0	36.0	45.0	121.0	114.0	37.0	18.0
TMEM45A	69.0	214.0	79.0	53.0	2.0	153.0	28.0	27.0	54.0	155.0	36.0	13.0
RAP2B	681.0	1404.0	1177.0	517.0	829.0	324.0	256.0	282.0	764.0	421.0	547.0	99.0
ZBTB2	188.0	197.0	304.0	141.0	224.0	107.0	63.0	68.0	144.0	104.0	80.0	28.0
RNF135	817.0	752.0	791.0	553.0	411.0	378.0	271.0	263.0	637.0	412.0	244.0	97.0
ACBD4	130.0	159.0	187.0	80.0	68.0	80.0	44.0	44.0	135.0	77.0	24.0	11.0
SGSH	579.0	331.0	520.0	266.0	242.0	338.0	115.0	139.0	322.0	329.0	231.0	73.0
MAB21L2	10.0	10.0	6.0	2.0	1.0	4.0	0.0	1.0	6.0	1.0	1.0	1.0
FANCB	29.0	62.0	33.0	26.0	21.0	27.0	10.0	9.0	69.0	51.0	23.0	5.0
EDDM3B	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
SETD2	2824.0	2929.0	1137.0	1030.0	665.0	1402.0	459.0	530.0	1274.0	1351.0	755.0	351.0
EDDM3A	1.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C6orf223	9.0	52.0	33.0	4.0	26.0	33.0	0.0	1.0	23.0	0.0	4.0	1.0
TMIE	9.0	22.0	5.0	3.0	19.0	8.0	2.0	0.0	14.0	4.0	1.0	7.0
MEX3D	278.0	177.0	653.0	96.0	458.0	214.0	41.0	44.0	141.0	196.0	65.0	41.0
MRPS23	1921.0	2317.0	1994.0	1024.0	1171.0	1330.0	579.0	606.0	2110.0	1330.0	600.0	304.0
OR52H1	1.0	4.0	2.0	1.0	1.0	2.0	0.0	0.0	5.0	0.0	0.0	0.0
FDCSP	0.0	598.0	12.0	0.0	6.0	0.0	1.0	1.0	631.0	9.0	41.0	11.0
GPR135	85.0	194.0	71.0	10.0	15.0	79.0	8.0	8.0	135.0	14.0	10.0	8.0
SLX1B	44.0	8.0	0.0	19.0	3.0	45.0	7.0	12.0	2.0	53.0	14.0	10.0
ANKRD62	12.0	70.0	59.0	11.0	27.0	5.0	2.0	2.0	74.0	4.0	4.0	1.0
P2RY13	7.0	21.0	17.0	3.0	3.0	0.0	2.0	6.0	3.0	5.0	79.0	1.0
TNFSF15	28.0	68.0	23.0	3.0	15.0	15.0	6.0	0.0	27.0	5.0	1.0	2.0
ZFP41	103.0	130.0	180.0	40.0	87.0	62.0	29.0	29.0	98.0	49.0	7.0	11.0
PHLDA2	2704.0	3975.0	6541.0	2413.0	4879.0	2785.0	1262.0	1284.0	3836.0	4238.0	3511.0	495.0
ATG9B	338.0	414.0	172.0	133.0	81.0	243.0	64.0	17.0	1068.0	87.0	68.0	154.0
GPR88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
HKR1	1015.0	687.0	761.0	465.0	466.0	557.0	189.0	237.0	560.0	377.0	181.0	100.0
PLAG1	178.0	232.0	396.0	121.0	228.0	83.0	35.0	45.0	148.0	88.0	17.0	23.0
YIPF6	1184.0	2889.0	2359.0	707.0	1395.0	853.0	343.0	391.0	1525.0	552.0	320.0	160.0
ZBTB20	593.0	1237.0	924.0	307.0	470.0	346.0	136.0	140.0	818.0	138.0	97.0	73.0
C3orf58	450.0	539.0	701.0	254.0	357.0	268.0	139.0	193.0	389.0	362.0	230.0	63.0
C5orf30	220.0	136.0	202.0	71.0	132.0	129.0	29.0	40.0	173.0	88.0	53.0	14.0
AMIGO1	34.0	60.0	135.0	17.0	28.0	29.0	11.0	14.0	50.0	50.0	11.0	6.0
GPR3	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.0	1.0	2.0	5.0	3.0
TMEM252	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ODF3L2	2.0	0.0	3.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0
SIAH2	838.0	1321.0	1518.0	701.0	1058.0	533.0	351.0	403.0	311.0	461.0	289.0	105.0
COPG1	4013.0	1594.0	1949.0	1020.0	1179.0	1811.0	567.0	647.0	1144.0	2396.0	1305.0	468.0
ADGRB1	2.0	1.0	3.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	2.0	1.0
LINC00471	12.0	25.0	16.0	4.0	3.0	5.0	1.0	3.0	10.0	2.0	3.0	0.0
CELF2-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SLC9A9	119.0	191.0	169.0	82.0	53.0	57.0	39.0	39.0	133.0	243.0	59.0	15.0
LSM10	960.0	1636.0	1907.0	808.0	1166.0	564.0	401.0	439.0	1025.0	644.0	436.0	121.0
RELL1	671.0	596.0	138.0	305.0	74.0	320.0	154.0	249.0	256.0	312.0	425.0	117.0
RFX7	367.0	295.0	404.0	186.0	333.0	260.0	64.0	69.0	221.0	201.0	74.0	57.0
SLC35C1	1628.0	2029.0	2022.0	1308.0	1312.0	1013.0	651.0	593.0	908.0	634.0	571.0	183.0
TIGIT	5.0	6.0	17.0	6.0	6.0	3.0	5.0	12.0	96.0	17.0	33.0	1.0
RNF41	447.0	778.0	830.0	312.0	452.0	281.0	123.0	163.0	471.0	233.0	159.0	71.0
SLC2A4	23.0	30.0	25.0	7.0	14.0	5.0	3.0	1.0	22.0	4.0	0.0	0.0
IBA57	174.0	494.0	408.0	106.0	208.0	96.0	57.0	65.0	131.0	94.0	42.0	12.0
CLDN7	21439.0	34629.0	17118.0	13540.0	11910.0	16865.0	7631.0	9555.0	26038.0	16325.0	9117.0	3447.0
ZNF329	257.0	126.0	260.0	117.0	125.0	92.0	64.0	51.0	51.0	92.0	49.0	20.0
ZNF101	222.0	237.0	355.0	105.0	195.0	141.0	43.0	54.0	147.0	130.0	46.0	56.0
C5orf24	986.0	2300.0	2271.0	924.0	1223.0	738.0	390.0	475.0	1155.0	530.0	291.0	182.0
AP003774.4	0.0	0.0	2.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0
ADO	280.0	231.0	509.0	165.0	307.0	146.0	71.0	93.0	137.0	176.0	94.0	34.0
COA4	1835.0	2936.0	2928.0	1358.0	1641.0	987.0	706.0	811.0	2092.0	1036.0	686.0	127.0
PRKAG1	825.0	1487.0	1948.0	562.0	1122.0	565.0	248.0	279.0	1183.0	664.0	261.0	100.0
GINS3	78.0	95.0	203.0	31.0	66.0	47.0	12.0	15.0	48.0	104.0	38.0	13.0
OR52K2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NEUROG1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
CCDC149	527.0	664.0	360.0	204.0	235.0	373.0	96.0	103.0	179.0	178.0	117.0	81.0
MRPS11	1283.0	2431.0	2464.0	1001.0	1551.0	1098.0	525.0	555.0	1833.0	1145.0	476.0	230.0
LINC00301	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SNRPE	2847.0	8692.0	8725.0	1809.0	5443.0	2436.0	877.0	990.0	7115.0	2548.0	1243.0	300.0
RTKN2	222.0	139.0	210.0	76.0	91.0	102.0	56.0	96.0	118.0	554.0	273.0	65.0
PNMAL1	4.0	33.0	24.0	1.0	19.0	13.0	0.0	0.0	45.0	3.0	2.0	1.0
RP11-381O7.3	4.0	6.0	0.0	1.0	2.0	4.0	1.0	0.0	2.0	4.0	2.0	3.0
CHST15	282.0	434.0	357.0	143.0	203.0	172.0	62.0	79.0	209.0	151.0	102.0	65.0
ADIG	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
USH1G	1.0	3.0	6.0	2.0	3.0	4.0	0.0	1.0	1.0	5.0	0.0	0.0
MGAT4C	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
IDH2	3543.0	5486.0	3531.0	2535.0	3264.0	1592.0	1354.0	1093.0	6499.0	2098.0	1428.0	409.0
OGFRP1	24.0	7.0	0.0	9.0	9.0	16.0	9.0	9.0	8.0	23.0	8.0	1.0
PTCHD3	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TMEM259	2166.0	2010.0	1868.0	1720.0	1540.0	1718.0	713.0	804.0	1017.0	1302.0	782.0	368.0
WRB	1203.0	1668.0	1181.0	579.0	734.0	902.0	301.0	309.0	2220.0	439.0	253.0	151.0
TNRC18	1814.0	529.0	1290.0	592.0	969.0	1307.0	254.0	329.0	268.0	999.0	548.0	414.0
FAM181B	38.0	88.0	36.0	13.0	5.0	26.0	6.0	3.0	30.0	89.0	15.0	2.0
TMEM30B	1196.0	1575.0	2129.0	571.0	1137.0	778.0	232.0	271.0	755.0	648.0	365.0	189.0
