	GRO-03_biopsy	GRO-10_biopsy	GRO-08_biopsy	D372_Biop_Int2	GRO-06_biopsy	D326_Biop_Pro1	GRO-09_biopsy	D367_Biop_Pro1	D372_Biop_Pro1	D353_Biop_Pro1	D339_Biop_Int1	D354_Biop_Int2	GRO-04_biopsy	GRO-07_biopsy
FAM151B	32.0	46.0	45.0	11.0	84.0	11.0	50.0	7.0	11.0	2.0	11.0	3.0	49.0	86.0
TADA1	125.0	186.0	102.0	27.0	189.0	84.0	164.0	88.0	98.0	44.0	31.0	31.0	112.0	209.0
GUCY1A2	65.0	28.0	30.0	7.0	19.0	1.0	44.0	10.0	10.0	0.0	12.0	1.0	19.0	29.0
CWF19L2	1164.0	2285.0	1806.0	243.0	2758.0	731.0	1399.0	313.0	398.0	101.0	210.0	171.0	1470.0	3259.0
JMY	1349.0	938.0	693.0	55.0	1392.0	210.0	1436.0	123.0	198.0	105.0	71.0	77.0	693.0	1436.0
HOMER1	1670.0	376.0	522.0	79.0	1478.0	82.0	703.0	72.0	93.0	1.0	66.0	27.0	191.0	1181.0
XRCC4	531.0	691.0	446.0	73.0	499.0	119.0	494.0	140.0	219.0	123.0	134.0	74.0	466.0	569.0
BOLL	0.0	0.0	1.0	0.0	5.0	7.0	0.0	7.0	6.0	2.0	1.0	9.0	0.0	13.0
ZNF547	113.0	48.0	54.0	4.0	58.0	30.0	87.0	58.0	86.0	11.0	5.0	16.0	45.0	72.0
ZNF773	138.0	99.0	88.0	5.0	171.0	160.0	111.0	57.0	64.0	14.0	10.0	26.0	118.0	148.0
ZNF776	140.0	234.0	172.0	44.0	313.0	93.0	164.0	15.0	111.0	13.0	36.0	48.0	92.0	306.0
ZNF256	183.0	91.0	71.0	72.0	84.0	56.0	119.0	64.0	145.0	33.0	38.0	12.0	72.0	78.0
SUV39H2	248.0	142.0	114.0	34.0	162.0	103.0	216.0	64.0	86.0	48.0	41.0	33.0	94.0	160.0
DCLRE1C	971.0	747.0	585.0	156.0	1073.0	465.0	1044.0	453.0	609.0	115.0	173.0	85.0	561.0	1145.0
OLAH	5.0	3.0	14.0	4.0	20.0	14.0	2.0	5.0	4.0	3.0	2.0	3.0	3.0	16.0
RPP38	1022.0	1646.0	1063.0	518.0	1866.0	694.0	1845.0	491.0	1037.0	272.0	313.0	284.0	1542.0	2276.0
NMT2	509.0	604.0	543.0	91.0	1315.0	200.0	602.0	148.0	216.0	28.0	59.0	47.0	417.0	1400.0
ZSCAN1	106.0	41.0	138.0	17.0	165.0	16.0	79.0	8.0	14.0	50.0	5.0	32.0	115.0	111.0
ZNF837	199.0	95.0	56.0	59.0	79.0	83.0	188.0	50.0	166.0	28.0	37.0	15.0	83.0	94.0
USP12	685.0	479.0	452.0	99.0	625.0	153.0	693.0	151.0	206.0	86.0	99.0	59.0	237.0	576.0
CCDC50	1603.0	1613.0	938.0	226.0	1704.0	506.0	2391.0	403.0	549.0	65.0	238.0	91.0	490.0	1800.0
CAMK4	263.0	206.0	284.0	3.0	234.0	12.0	552.0	10.0	8.0	2.0	0.0	2.0	296.0	214.0
TRIM36	46.0	47.0	71.0	6.0	67.0	12.0	31.0	12.0	6.0	8.0	1.0	5.0	30.0	78.0
ZFP36L2	26371.0	11380.0	13903.0	3085.0	20435.0	4534.0	18306.0	2594.0	9181.0	1028.0	1767.0	910.0	6200.0	23828.0
PAN3	986.0	841.0	497.0	110.0	686.0	239.0	616.0	362.0	288.0	298.0	160.0	112.0	393.0	694.0
PLEKHH2	620.0	649.0	337.0	28.0	588.0	199.0	436.0	211.0	231.0	14.0	56.0	47.0	215.0	592.0
PFKM	601.0	343.0	336.0	331.0	526.0	483.0	746.0	482.0	997.0	190.0	160.0	148.0	226.0	562.0
TMEM123	10643.0	7355.0	6204.0	2012.0	9779.0	3319.0	10438.0	3349.0	4181.0	1732.0	1822.0	1291.0	5101.0	10665.0
GRIA4	2.0	0.0	2.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
IGSF10	450.0	472.0	373.0	66.0	1358.0	134.0	330.0	73.0	179.0	83.0	37.0	127.0	516.0	2477.0
SPEF2	1545.0	3057.0	3250.0	76.0	4984.0	406.0	1894.0	209.0	211.0	252.0	89.0	241.0	3121.0	6798.0
SPARCL1	9611.0	18291.0	6912.0	9191.0	7462.0	4588.0	16040.0	4803.0	6077.0	1021.0	3273.0	1050.0	4226.0	10916.0
DSPP	0.0	1.0	3.0	0.0	4.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	1.0	6.0
DMP1	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
MEPE	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
MBNL1	3668.0	3454.0	2776.0	244.0	4213.0	460.0	4882.0	550.0	632.0	108.0	182.0	161.0	2081.0	3887.0
CAPSL	4971.0	8204.0	6448.0	886.0	7295.0	1408.0	7179.0	975.0	1978.0	2259.0	450.0	1955.0	14143.0	11535.0
NADK2	280.0	252.0	165.0	34.0	293.0	104.0	254.0	109.0	145.0	55.0	38.0	25.0	164.0	294.0
GPD1L	763.0	666.0	359.0	78.0	715.0	203.0	527.0	338.0	309.0	96.0	253.0	132.0	396.0	846.0
GJA1	460.0	448.0	241.0	46.0	276.0	58.0	557.0	143.0	168.0	40.0	70.0	21.0	75.0	267.0
CCNO	1939.0	1477.0	1305.0	486.0	1846.0	619.0	3030.0	414.0	964.0	165.0	198.0	483.0	1863.0	2191.0
DDX4	8.0	6.0	27.0	5.0	33.0	7.0	5.0	0.0	1.0	0.0	2.0	3.0	10.0	3.0
CLEC4F	15.0	8.0	2.0	6.0	10.0	13.0	8.0	6.0	6.0	7.0	2.0	8.0	11.0	4.0
SLC30A6	370.0	351.0	206.0	71.0	369.0	102.0	478.0	192.0	191.0	58.0	148.0	66.0	194.0	380.0
PELO	721.0	558.0	410.0	285.0	560.0	352.0	957.0	322.0	634.0	120.0	232.0	141.0	675.0	578.0
RASGRP3	367.0	246.0	93.0	24.0	283.0	68.0	449.0	43.0	62.0	17.0	38.0	23.0	115.0	268.0
SAR1B	2074.0	2202.0	1360.0	411.0	2128.0	520.0	2837.0	862.0	723.0	366.0	426.0	335.0	1676.0	2150.0
CATSPER3	25.0	14.0	15.0	2.0	20.0	3.0	36.0	0.0	14.0	8.0	10.0	3.0	17.0	23.0
GPR180	476.0	521.0	314.0	26.0	605.0	109.0	662.0	100.0	101.0	49.0	122.0	67.0	214.0	630.0
TCTEX1D1	703.0	1677.0	1392.0	63.0	1862.0	207.0	1085.0	101.0	142.0	131.0	51.0	142.0	1498.0	3411.0
WDR78	1243.0	2510.0	2581.0	134.0	3987.0	370.0	1250.0	177.0	295.0	370.0	107.0	288.0	2635.0	4548.0
ANKRD22	37.0	51.0	9.0	5.0	65.0	7.0	296.0	7.0	8.0	1.0	11.0	1.0	28.0	48.0
FARP1	1803.0	1169.0	1317.0	178.0	1819.0	467.0	1833.0	383.0	499.0	108.0	150.0	179.0	733.0	2466.0
IFIT5	384.0	456.0	229.0	144.0	468.0	211.0	438.0	206.0	283.0	97.0	119.0	67.0	241.0	461.0
SLC16A12	62.0	27.0	25.0	17.0	53.0	44.0	15.0	44.0	39.0	11.0	5.0	13.0	13.0	50.0
PANK1	157.0	124.0	92.0	58.0	173.0	92.0	137.0	67.0	99.0	36.0	32.0	55.0	50.0	150.0
PRDM8	61.0	119.0	118.0	10.0	169.0	5.0	144.0	15.0	14.0	10.0	14.0	12.0	94.0	290.0
BMP3	544.0	560.0	425.0	316.0	513.0	126.0	1052.0	396.0	296.0	76.0	253.0	54.0	254.0	711.0
HNRNPDL	11176.0	7462.0	6308.0	1466.0	7663.0	3720.0	12320.0	2937.0	4946.0	1358.0	948.0	1089.0	7052.0	8391.0
HHEX	269.0	362.0	117.0	82.0	161.0	54.0	712.0	76.0	100.0	12.0	59.0	22.0	131.0	185.0
UTRN	4111.0	3301.0	3532.0	258.0	5006.0	712.0	3926.0	573.0	545.0	211.0	245.0	226.0	2334.0	5079.0
GRM1	2.0	3.0	3.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	3.0	5.0
PTPRK	1714.0	1272.0	1005.0	300.0	2082.0	473.0	1536.0	668.0	575.0	216.0	266.0	160.0	696.0	1952.0
GGPS1	2490.0	1819.0	1117.0	495.0	1534.0	872.0	2156.0	892.0	1209.0	294.0	507.0	302.0	1265.0	1788.0
CNTNAP4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZNF117	413.0	326.0	354.0	45.0	426.0	82.0	455.0	124.0	161.0	38.0	6.0	41.0	209.0	450.0
PART1	318.0	871.0	902.0	583.0	1629.0	605.0	439.0	466.0	409.0	314.0	695.0	378.0	1126.0	1317.0
RAB3C	20.0	129.0	8.0	38.0	14.0	24.0	161.0	10.0	7.0	3.0	71.0	6.0	7.0	23.0
LMNTD1	111.0	163.0	189.0	8.0	268.0	49.0	32.0	16.0	12.0	32.0	8.0	26.0	141.0	304.0
MARVELD2	1055.0	834.0	803.0	213.0	1711.0	293.0	1090.0	253.0	325.0	75.0	145.0	84.0	890.0	1607.0
RAD17	841.0	604.0	625.0	129.0	771.0	240.0	822.0	249.0	366.0	93.0	191.0	106.0	404.0	812.0
MED21	2531.0	1614.0	956.0	423.0	1187.0	643.0	2439.0	702.0	1134.0	318.0	523.0	290.0	1204.0	1323.0
PLOD2	502.0	477.0	255.0	110.0	601.0	114.0	630.0	117.0	179.0	49.0	154.0	60.0	241.0	596.0
STK32B	3.0	8.0	4.0	6.0	7.0	0.0	13.0	0.0	0.0	0.0	2.0	0.0	2.0	4.0
NRSN1	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0
JAKMIP1	24.0	49.0	65.0	3.0	41.0	8.0	113.0	4.0	2.0	1.0	2.0	0.0	75.0	25.0
ZIC1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADGRA3	561.0	430.0	328.0	68.0	555.0	301.0	350.0	218.0	287.0	118.0	70.0	95.0	233.0	593.0
CPB1	0.0	1.0	0.0	29.0	1.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0
SREK1IP1	1369.0	2872.0	1517.0	737.0	2631.0	1289.0	2307.0	1031.0	1821.0	264.0	618.0	393.0	2018.0	3250.0
LGI2	2.0	3.0	2.0	7.0	4.0	0.0	13.0	0.0	1.0	0.0	2.0	0.0	0.0	2.0
CWC27	1680.0	1212.0	1034.0	408.0	1488.0	702.0	2746.0	375.0	820.0	189.0	379.0	194.0	1365.0	1785.0
MR1	743.0	657.0	527.0	168.0	1089.0	405.0	1096.0	288.0	439.0	54.0	202.0	138.0	517.0	958.0
SRP19	1194.0	1424.0	1074.0	621.0	1330.0	586.0	2219.0	591.0	910.0	413.0	457.0	327.0	1477.0	1468.0
CENPH	630.0	418.0	229.0	133.0	234.0	220.0	803.0	229.0	372.0	106.0	239.0	76.0	279.0	367.0
CDYL	500.0	549.0	606.0	5.0	990.0	193.0	858.0	149.0	189.0	60.0	61.0	41.0	307.0	1632.0
CARHSP1	3608.0	3008.0	1849.0	945.0	2727.0	1319.0	6600.0	1644.0	2094.0	324.0	1167.0	409.0	2560.0	2983.0
TEKT5	3.0	3.0	12.0	3.0	1.0	1.0	6.0	2.0	2.0	2.0	0.0	0.0	9.0	20.0
BANK1	371.0	441.0	319.0	24.0	389.0	182.0	572.0	119.0	162.0	39.0	27.0	30.0	161.0	420.0
TXNDC11	943.0	634.0	545.0	281.0	1084.0	290.0	1253.0	267.0	381.0	66.0	66.0	75.0	378.0	825.0
DAB2	540.0	745.0	279.0	128.0	504.0	213.0	1127.0	71.0	105.0	48.0	49.0	31.0	189.0	610.0
ACMSD	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ACOXL	5.0	10.0	1.0	2.0	5.0	11.0	14.0	4.0	7.0	2.0	4.0	5.0	2.0	8.0
BCL2L11	1113.0	526.0	575.0	42.0	1171.0	110.0	857.0	145.0	196.0	71.0	28.0	50.0	428.0	981.0
ANAPC1	289.0	322.0	242.0	53.0	460.0	149.0	505.0	112.0	206.0	58.0	129.0	55.0	301.0	401.0
CAST	15230.0	14158.0	11235.0	1833.0	19078.0	4291.0	15880.0	2927.0	3871.0	1036.0	1359.0	1145.0	7246.0	21070.0
SCOC	2849.0	2272.0	1581.0	742.0	2189.0	1288.0	3091.0	1014.0	1632.0	825.0	703.0	548.0	1528.0	2365.0
CLGN	102.0	172.0	250.0	47.0	255.0	48.0	233.0	33.0	49.0	36.0	52.0	29.0	286.0	511.0
CETN3	1040.0	1297.0	1601.0	317.0	3639.0	639.0	958.0	473.0	870.0	264.0	507.0	191.0	859.0	2863.0
SMARCA5	4581.0	3681.0	3239.0	598.0	4591.0	825.0	4163.0	817.0	1005.0	424.0	597.0	286.0	2609.0	4536.0
SYCP2L	10.0	14.0	12.0	1.0	12.0	3.0	8.0	3.0	2.0	0.0	0.0	0.0	7.0	11.0
BMP6	8.0	15.0	4.0	1.0	9.0	0.0	7.0	0.0	1.0	0.0	7.0	0.0	2.0	2.0
RGPD3	2.0	0.0	9.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0
RASSF3	336.0	487.0	269.0	48.0	483.0	58.0	473.0	111.0	83.0	29.0	2.0	33.0	161.0	452.0
HNRNPU	13056.0	9072.0	7643.0	1516.0	12217.0	2186.0	11175.0	2311.0	3275.0	911.0	969.0	898.0	5777.0	11270.0
RANBP2	3094.0	2652.0	2090.0	291.0	3232.0	540.0	2923.0	605.0	520.0	294.0	276.0	122.0	1972.0	3004.0
AHCTF1	1231.0	936.0	1046.0	29.0	1301.0	190.0	862.0	242.0	239.0	95.0	52.0	85.0	787.0	1053.0
MERTK	53.0	85.0	69.0	9.0	118.0	25.0	150.0	39.0	52.0	43.0	13.0	13.0	40.0	106.0
TMEM87B	789.0	832.0	730.0	41.0	1057.0	189.0	925.0	203.0	245.0	48.0	139.0	78.0	471.0	1081.0
PTPRR	11.0	18.0	7.0	5.0	20.0	7.0	13.0	2.0	2.0	0.0	4.0	4.0	9.0	16.0
NR4A2	6321.0	7114.0	6728.0	64.0	11345.0	98.0	9347.0	144.0	159.0	99.0	57.0	30.0	6822.0	9885.0
CCDC148	362.0	589.0	513.0	28.0	706.0	74.0	480.0	84.0	80.0	34.0	20.0	43.0	681.0	1037.0
PLA2R1	546.0	431.0	464.0	40.0	655.0	132.0	549.0	164.0	114.0	38.0	28.0	8.0	178.0	563.0
RBMS1	3004.0	2713.0	1902.0	461.0	3125.0	893.0	3664.0	653.0	811.0	186.0	189.0	185.0	1647.0	3593.0
SCN3A	21.0	31.0	10.0	3.0	14.0	26.0	31.0	0.0	10.0	1.0	4.0	0.0	5.0	17.0
FEZF2	0.0	1.0	0.0	0.0	0.0	7.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0
CD96	778.0	523.0	757.0	4.0	657.0	32.0	954.0	2.0	1.0	1.0	0.0	0.0	1168.0	462.0
SLC25A27	80.0	79.0	88.0	0.0	182.0	40.0	74.0	1.0	40.0	9.0	0.0	11.0	76.0	156.0
ADGRF1	1286.0	1962.0	1196.0	178.0	6306.0	314.0	3912.0	727.0	359.0	143.0	238.0	130.0	1889.0	3879.0
ADGRF4	36.0	17.0	13.0	2.0	34.0	1.0	16.0	3.0	4.0	0.0	9.0	1.0	13.0	32.0
FRMD1	3.0	1.0	0.0	2.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
FAM49B	2763.0	2103.0	1370.0	536.0	2014.0	833.0	4661.0	847.0	1264.0	298.0	525.0	289.0	1381.0	2179.0
ASAP1	892.0	821.0	477.0	103.0	851.0	178.0	1890.0	116.0	205.0	17.0	80.0	21.0	319.0	955.0
TRAPPC8	741.0	895.0	621.0	29.0	1000.0	155.0	733.0	186.0	162.0	86.0	110.0	56.0	554.0	1066.0
FAM81B	1332.0	2346.0	3205.0	249.0	3826.0	521.0	1781.0	263.0	553.0	487.0	69.0	601.0	4164.0	5070.0
LINC00467	601.0	1693.0	1286.0	316.0	2391.0	813.0	1140.0	555.0	815.0	239.0	295.0	159.0	1319.0	2999.0
INO80C	1219.0	1367.0	769.0	519.0	933.0	502.0	1482.0	395.0	784.0	253.0	422.0	239.0	1254.0	759.0
LPCAT1	162.0	176.0	188.0	50.0	247.0	74.0	486.0	53.0	111.0	0.0	8.0	11.0	107.0	227.0
PLEKHG4B	162.0	146.0	71.0	18.0	106.0	6.0	64.0	18.0	48.0	7.0	15.0	23.0	35.0	151.0
NMRAL1	2204.0	1464.0	1011.0	834.0	1268.0	970.0	2077.0	526.0	1619.0	438.0	434.0	336.0	1470.0	1658.0
UBALD1	1364.0	526.0	447.0	241.0	595.0	409.0	861.0	287.0	617.0	106.0	247.0	148.0	458.0	511.0
C16orf89	1277.0	1121.0	1056.0	302.0	737.0	552.0	777.0	374.0	350.0	332.0	232.0	474.0	1630.0	2171.0
TMEM251	1107.0	731.0	581.0	182.0	724.0	473.0	1184.0	420.0	605.0	200.0	153.0	165.0	592.0	836.0
ING1	1239.0	877.0	961.0	68.0	985.0	172.0	1153.0	201.0	254.0	56.0	93.0	53.0	749.0	1451.0
TEX29	5.0	4.0	3.0	4.0	2.0	3.0	5.0	3.0	1.0	1.0	0.0	1.0	2.0	5.0
ADPRHL1	80.0	176.0	121.0	27.0	183.0	55.0	128.0	34.0	59.0	17.0	23.0	28.0	128.0	333.0
CMTM7	2518.0	1534.0	1099.0	637.0	1539.0	892.0	3231.0	696.0	1305.0	329.0	400.0	246.0	1245.0	1682.0
FBXL2	272.0	399.0	285.0	73.0	557.0	131.0	260.0	65.0	90.0	36.0	66.0	45.0	253.0	747.0
UBP1	878.0	730.0	459.0	6.0	781.0	134.0	1190.0	200.0	207.0	44.0	76.0	51.0	428.0	848.0
RMND5A	787.0	692.0	557.0	75.0	845.0	217.0	745.0	259.0	204.0	63.0	134.0	37.0	403.0	872.0
CD8A	626.0	628.0	923.0	14.0	541.0	71.0	1271.0	21.0	25.0	13.0	2.0	1.0	1813.0	799.0
RPIA	1745.0	1008.0	759.0	386.0	1044.0	584.0	1506.0	592.0	770.0	195.0	533.0	186.0	839.0	1093.0
PTPRD	220.0	192.0	167.0	6.0	140.0	29.0	223.0	17.0	71.0	28.0	19.0	9.0	41.0	177.0
LURAP1L	1299.0	710.0	429.0	255.0	1016.0	465.0	974.0	397.0	781.0	175.0	190.0	175.0	433.0	743.0
CNKSR3	1203.0	858.0	700.0	282.0	1403.0	363.0	924.0	416.0	453.0	58.0	272.0	136.0	417.0	1266.0
GTF2E1	217.0	216.0	131.0	56.0	284.0	101.0	357.0	73.0	140.0	42.0	79.0	36.0	138.0	257.0
CFDP1	3343.0	5752.0	2929.0	651.0	7328.0	1607.0	4897.0	1572.0	2023.0	665.0	749.0	592.0	4842.0	8449.0
ZDHHC7	848.0	595.0	503.0	177.0	908.0	311.0	928.0	252.0	356.0	62.0	74.0	95.0	471.0	877.0
FAM92B	2406.0	4310.0	3179.0	333.0	3437.0	711.0	3330.0	448.0	839.0	914.0	178.0	968.0	6431.0	5043.0
C7orf31	121.0	92.0	89.0	63.0	74.0	102.0	123.0	77.0	129.0	46.0	33.0	17.0	72.0	86.0
TMPRSS11D	1242.0	299.0	724.0	18.0	646.0	510.0	1518.0	367.0	605.0	286.0	86.0	44.0	374.0	558.0
JAZF1	134.0	226.0	140.0	4.0	206.0	19.0	336.0	34.0	64.0	35.0	13.0	31.0	143.0	289.0
CMIP	1178.0	2122.0	1430.0	116.0	3481.0	465.0	1905.0	409.0	368.0	89.0	304.0	65.0	1028.0	3324.0
SPHKAP	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
KCNJ16	1296.0	487.0	247.0	141.0	332.0	35.0	788.0	184.0	46.0	24.0	148.0	50.0	267.0	472.0
PID1	1019.0	401.0	294.0	67.0	467.0	211.0	957.0	163.0	278.0	17.0	32.0	46.0	283.0	494.0
TRIP12	2218.0	2086.0	1874.0	120.0	3032.0	478.0	2422.0	479.0	446.0	192.0	260.0	156.0	1230.0	3227.0
FBXO36	400.0	506.0	595.0	67.0	856.0	165.0	418.0	101.0	179.0	102.0	49.0	77.0	615.0	1112.0
CEBPG	1763.0	1149.0	714.0	384.0	1104.0	423.0	1548.0	350.0	708.0	181.0	278.0	189.0	1001.0	1149.0
KCTD15	329.0	216.0	175.0	89.0	280.0	148.0	362.0	139.0	186.0	71.0	25.0	50.0	143.0	236.0
ZNF599	486.0	436.0	364.0	77.0	463.0	150.0	574.0	150.0	192.0	49.0	6.0	58.0	527.0	647.0
MCOLN2	75.0	84.0	111.0	2.0	128.0	15.0	177.0	3.0	13.0	3.0	3.0	6.0	90.0	136.0
LGI4	33.0	121.0	76.0	22.0	76.0	8.0	59.0	1.0	10.0	5.0	1.0	2.0	54.0	81.0
DDAH1	521.0	845.0	467.0	67.0	752.0	201.0	726.0	149.0	194.0	108.0	40.0	96.0	470.0	1052.0
SREK1	3746.0	3729.0	2557.0	390.0	4943.0	1430.0	5317.0	1025.0	1744.0	265.0	478.0	363.0	2631.0	5461.0
CHD1	4314.0	2461.0	2515.0	313.0	3298.0	590.0	3444.0	440.0	683.0	173.0	231.0	208.0	2557.0	3491.0
ANKFN1	245.0	507.0	359.0	28.0	696.0	71.0	189.0	39.0	43.0	51.0	14.0	62.0	534.0	928.0
DGKE	495.0	421.0	306.0	17.0	515.0	198.0	735.0	132.0	108.0	18.0	43.0	15.0	229.0	466.0
HS2ST1	575.0	446.0	302.0	17.0	421.0	133.0	519.0	141.0	181.0	44.0	98.0	43.0	250.0	463.0
MSI2	2589.0	4147.0	3479.0	239.0	6876.0	1212.0	4423.0	1280.0	1094.0	543.0	540.0	325.0	2506.0	7081.0
CACNA2D1	399.0	215.0	201.0	12.0	203.0	60.0	389.0	35.0	72.0	1.0	21.0	26.0	78.0	191.0
ZUFSP	373.0	274.0	190.0	71.0	274.0	98.0	356.0	88.0	222.0	87.0	85.0	58.0	238.0	293.0
HS3ST3A1	3.0	17.0	3.0	1.0	17.0	1.0	14.0	2.0	2.0	0.0	0.0	0.0	0.0	1.0
GDPD1	130.0	106.0	150.0	25.0	215.0	55.0	141.0	53.0	30.0	8.0	26.0	8.0	96.0	170.0
NUS1	867.0	740.0	547.0	147.0	926.0	243.0	1052.0	319.0	319.0	170.0	182.0	132.0	435.0	809.0
SEMA3D	67.0	35.0	38.0	7.0	48.0	21.0	48.0	19.0	13.0	2.0	3.0	2.0	12.0	49.0
PPP2R5E	2096.0	1967.0	1487.0	267.0	2385.0	598.0	2212.0	560.0	556.0	213.0	466.0	170.0	1155.0	2721.0
GRAP	37.0	51.0	42.0	8.0	31.0	12.0	108.0	5.0	11.0	2.0	10.0	2.0	41.0	42.0
SLC5A10	0.0	4.0	1.0	1.0	0.0	1.0	2.0	0.0	0.0	0.0	2.0	0.0	1.0	3.0
AK5	6.0	11.0	18.0	5.0	9.0	0.0	35.0	1.0	1.0	0.0	6.0	0.0	6.0	8.0
CABYR	106.0	68.0	43.0	26.0	114.0	28.0	39.0	37.0	78.0	13.0	19.0	8.0	64.0	71.0
IMPACT	1074.0	823.0	660.0	118.0	1181.0	412.0	1099.0	352.0	482.0	117.0	247.0	141.0	625.0	1118.0
ANKRD29	803.0	899.0	348.0	274.0	626.0	488.0	773.0	152.0	425.0	118.0	97.0	80.0	182.0	1081.0
SDHAF4	162.0	344.0	399.0	53.0	610.0	255.0	225.0	168.0	280.0	66.0	134.0	73.0	313.0	461.0
CHST9	13052.0	11010.0	9176.0	3243.0	14128.0	4400.0	8749.0	3847.0	4875.0	2117.0	2255.0	1938.0	9364.0	16452.0
THY1	121.0	208.0	62.0	22.0	23.0	4.0	1060.0	1.0	24.0	0.0	8.0	1.0	25.0	99.0
DNAAF1	3070.0	8187.0	11082.0	330.0	15804.0	1068.0	5379.0	540.0	915.0	692.0	212.0	625.0	6380.0	21443.0
C16orf74	1304.0	566.0	310.0	674.0	486.0	608.0	1592.0	663.0	1079.0	279.0	425.0	187.0	48.0	529.0
TBCEL	168.0	279.0	209.0	15.0	376.0	46.0	234.0	70.0	77.0	31.0	9.0	34.0	102.0	312.0
JPH3	10.0	14.0	13.0	3.0	53.0	4.0	57.0	3.0	2.0	4.0	1.0	2.0	14.0	45.0
ANKH	1149.0	651.0	612.0	382.0	690.0	408.0	1047.0	297.0	712.0	191.0	158.0	164.0	323.0	679.0
OTULIN	471.0	376.0	505.0	36.0	1259.0	95.0	1185.0	76.0	98.0	6.0	37.0	7.0	193.0	1501.0
UBASH3B	400.0	250.0	231.0	23.0	476.0	107.0	644.0	77.0	73.0	21.0	91.0	62.0	149.0	394.0
ROBO4	83.0	303.0	89.0	145.0	99.0	71.0	331.0	29.0	33.0	13.0	84.0	13.0	42.0	128.0
ROBO3	266.0	104.0	92.0	71.0	62.0	53.0	324.0	88.0	112.0	41.0	15.0	17.0	134.0	145.0
PANX3	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TBRG1	1318.0	1545.0	951.0	324.0	1649.0	505.0	2466.0	438.0	643.0	130.0	329.0	157.0	1014.0	1990.0
NRGN	43.0	103.0	42.0	25.0	61.0	9.0	268.0	0.0	7.0	0.0	13.0	0.0	26.0	78.0
FAM134B	3069.0	1461.0	1045.0	749.0	1675.0	666.0	1294.0	499.0	637.0	173.0	208.0	166.0	1261.0	2723.0
CDH12	338.0	180.0	144.0	44.0	229.0	99.0	151.0	153.0	144.0	14.0	41.0	45.0	120.0	297.0
GPR15	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TOMM70A	887.0	779.0	651.0	106.0	1012.0	356.0	1081.0	297.0	407.0	76.0	204.0	78.0	509.0	937.0
ABI3BP	344.0	297.0	213.0	39.0	112.0	22.0	276.0	80.0	52.0	1.0	8.0	10.0	36.0	86.0
ANGPT1	205.0	149.0	109.0	32.0	168.0	49.0	96.0	39.0	69.0	17.0	8.0	16.0	51.0	138.0
PITPNC1	446.0	398.0	288.0	112.0	303.0	126.0	1145.0	110.0	68.0	4.0	55.0	19.0	185.0	342.0
CC2D1B	168.0	146.0	160.0	33.0	231.0	88.0	259.0	57.0	114.0	26.0	44.0	35.0	92.0	220.0
CERS3	38.0	26.0	6.0	0.0	15.0	2.0	14.0	9.0	60.0	5.0	21.0	1.0	8.0	20.0
PRKCA	897.0	297.0	474.0	49.0	876.0	268.0	909.0	195.0	280.0	25.0	56.0	105.0	197.0	908.0
LRRK1	534.0	403.0	305.0	18.0	531.0	182.0	517.0	182.0	125.0	17.0	1.0	35.0	268.0	499.0
CEP112	279.0	409.0	380.0	65.0	591.0	98.0	344.0	65.0	82.0	26.0	43.0	58.0	356.0	693.0
GAL3ST2	1.0	2.0	6.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	6.0
ABCA9	64.0	100.0	72.0	12.0	94.0	18.0	66.0	8.0	13.0	6.0	5.0	8.0	26.0	117.0
ABCA6	412.0	335.0	188.0	26.0	192.0	32.0	280.0	27.0	61.0	20.0	13.0	21.0	72.0	218.0
ABCA10	209.0	230.0	185.0	16.0	204.0	12.0	125.0	41.0	54.0	3.0	5.0	7.0	58.0	193.0
